time,latitude,longitude,depth,mag
2014-11-21T22:45:36.370Z,34.4008,79.0039,36.66,4.3
2014-11-18T15:55:32.580Z,32.9378,76.059,60.82,4.3
2014-10-10T21:49:37.690Z,34.3271,79.1521,45.27,4
2014-08-21T08:11:18.820Z,32.3289,76.4266,10,4.9
2014-07-25T04:56:16.680Z,33.1264,76.3749,17.03,4
2014-06-17T17:31:10.950Z,32.3316,76.4467,33.51,4.2
2014-06-13T13:32:52.870Z,33.292,75.5807,42.74,5
2014-04-19T08:29:20.330Z,34.1021,76.2379,34,4.1
2013-12-06T10:09:01.050Z,32.8918,78.6622,41.12,4.3
2013-11-15T22:21:08.700Z,34.5371,77.7468,30.76,4.2
2013-10-26T00:05:03.550Z,33.1049,75.9359,41.6,4.5
2013-09-05T18:11:28.600Z,33.2221,75.404,10.24,4.5
2013-09-03T08:06:19.150Z,33.2574,75.8656,10,4.2
2013-08-18T23:53:31.680Z,33.2183,75.8728,44.81,4.8
2013-08-05T14:46:00.350Z,33.3339,75.9342,50.45,4.1
2013-08-05T13:57:48.780Z,33.4569,76.0182,46.77,4.3
2013-08-02T21:37:46.070Z,33.2967,75.9504,42.43,5.2
2013-08-02T02:32:47.770Z,33.2663,75.9377,14.12,5
2013-07-13T17:49:36.640Z,32.383,76.535,25.5,4.4
2013-07-09T15:52:34.080Z,32.85,78.327,36.9,4
2013-07-09T14:50:57.450Z,32.743,78.17,37.4,4.1
2013-07-09T13:49:18.870Z,32.765,78.197,49.9,5
2013-06-05T22:04:03.100Z,32.907,76.286,43.3,4
2013-06-04T17:34:50.750Z,32.672,76.601,41.1,4.9
2013-05-14T20:03:36.620Z,33.087,75.709,48,4.7
2013-05-14T20:00:07.770Z,33.101,75.727,61.7,4.7
2013-05-14T19:58:24.430Z,33.121,75.735,35.7,4.3
2013-05-02T00:30:41.250Z,33.121,75.827,15.8,4.3
2013-05-02T00:30:07.400Z,32.964,75.69,10,4.2
2013-05-01T09:19:45.930Z,33.001,75.764,10,4.6
2013-05-01T07:05:36.310Z,33.055,75.724,10,4.2
2013-05-01T06:57:13.480Z,33.061,75.863,15,5.7
2013-04-30T09:41:51.600Z,33.152,75.741,10,4.5
2013-04-17T03:01:38.230Z,33.249,76.663,42.2,4
2012-11-11T20:23:12.680Z,32.294,76.331,10,4
2012-10-03T10:49:26.470Z,32.296,76.254,10,4.2
2012-10-03T10:04:50.650Z,33.498,75.963,35,4.1
2012-10-02T08:34:54.360Z,32.471,76.632,10,4.8
2012-10-02T03:45:30.090Z,32.401,76.507,19.1,4.6
2012-08-02T18:00:26.210Z,33.731,75.446,10,4.1
